python TS_Statistics.py
elapsed: 573.6295931339264
elapsed: 576.1270425319672
elapsed: 575.0030779838562
elapsed: 576.6207792758942
elapsed: 576.3429470062256
elapsed: 575.3207097053528
elapsed: 572.0633580684662
elapsed: 571.2790443897247
elapsed: 571.2347464561462
elapsed: 569.5362668037415
elapsed: 571.2641525268555
elapsed: 571.5430448055267
elapsed: 570.6495356559753
elapsed: 572.2061879634857
elapsed: 571.5168769359589
elapsed: 571.7022228240967
elapsed: 571.0289554595947
elapsed: 571.9269337654114
elapsed: 571.828859090805
elapsed: 570.5827915668488
elapsed: 571.6369290351868
elapsed: 570.6863448619843
elapsed: 570.9403069019318
elapsed: 569.9935276508331
elapsed: 568.4799411296844
