python TS_Statistics.py
elapsed: 708.4888424873352
elapsed: 691.9118804931641
elapsed: 691.1672151088715
elapsed: 692.4420073032379
elapsed: 691.7727131843567
elapsed: 692.5040054321289
elapsed: 688.4301319122314
elapsed: 687.2118260860443
elapsed: 687.3805482387543
elapsed: 685.7670404911041
elapsed: 687.5432136058807
elapsed: 687.690004825592
elapsed: 686.9218208789825
elapsed: 687.9734969139099
elapsed: 686.4050409793854
elapsed: 687.3158900737762
elapsed: 687.2830815315247
elapsed: 687.6359906196594
elapsed: 687.4744107723236
elapsed: 686.7203633785248
elapsed: 687.5011024475098
elapsed: 686.5021252632141
elapsed: 687.0580184459686
elapsed: 686.9922707080841
elapsed: 685.2548053264618
